Symptoms,Diagnosis,Recommended_Hospitals,Recommended_Doctors,Medical_Supplies,Medical_Resources
"fever, cough",common cold,City Hospital,Dr. John,Paracetamol,Stethoscope
"headache, blurred vision",migraine,General Hospital,Dr. Emma,Aspirin,MRI Scanner
"chest pain, breathlessness",heart disease,Heart Care Center,Dr. Smith,Nitroglycerin,ECG Machine
"joint pain, swelling",arthritis,Orthopedic Clinic,Dr. Wilson,Ibuprofen,X-ray Machine
"stomach pain, nausea",gastritis,Gastro Center,Dr. Lee,Antacids,Endoscopy Equipment
"high blood pressure, headache",hypertension,Cardio Clinic,Dr. Patel,Beta Blockers,Blood Pressure Monitor
"weight loss, fatigue",diabetes,Diabetes Care,Dr. Sarah,Insulin,Glucose Meter
"itchy skin, redness",allergy,Dermatology Clinic,Dr. Grace,Antihistamines,Allergy Test Kit
"sore throat, difficulty swallowing",tonsillitis,ENT Hospital,Dr. Alan,Lozenges,Throat Swab Kit
"frequent urination, thirst",kidney disease,Nephro Center,Dr. Daniel,Diuretics,Dialysis Machine
"abdominal pain, bloating",appendicitis,Emergency Hospital,Dr. Carla,Antibiotics,Ultrasound Machine
"dizziness, fainting",anemia,Hematology Center,Dr. James,Iron Supplements,Hemoglobin Test Kit
"back pain, leg numbness",sciatica,Neuro Clinic,Dr. Arthur,Muscle Relaxants,CT Scanner
"shortness of breath, cough",pneumonia,Lung Care Center,Dr. Lisa,Antibiotics,Oxygen Therapy Machine
"rash, blisters",chickenpox,Infectious Disease,Dr. Maya,Calamine Lotion,Isolation Ward
"urinary pain, burning sensation",UTI,Urology Clinic,Dr. Brian,Antibiotics,Urine Test Kit
"nausea, vomiting",pregnancy,Women's Hospital,Dr. Rachel,Multivitamins,Ultrasound Machine
"bleeding gums, toothache",gingivitis,Dental Care Center,Dr. Steve,Mouthwash,Dental X-ray Machine
"insomnia, anxiety",depression,Mental Health Center,Dr. Olivia,Antidepressants,Counseling Room
"blurred vision, eye redness",conjunctivitis,Eye Care Hospital,Dr. Henry,Eye Drops,Slit Lamp
